Arrival_Date,Room_Category,Fare_Class,forecast_mu,forecast_sigma,ci_lower_95,ci_upper_95
2025-10-13,Family,Y2_Medium,2.5682626230398933,2.7884257472478757,-2.896951416412656,8.033476662492443
2025-10-14,Family,Y2_Medium,2.5696843254043955,2.7937465865491466,-2.9059583674486174,8.045327018257408
2025-10-15,Family,Y2_Medium,2.571171323324452,2.7990244371930855,-2.914815766708889,8.057158413357794
2025-09-02,Family,Y3_Low,0.5060826626291552,2.4430222028030175,-4.282152869420125,5.294318194678436
2025-09-03,Family,Y3_Low,0.5449315268632098,2.459604248195348,-4.275804216952673,5.365667270679093
2025-09-04,Family,Y3_Low,0.8494068910299712,2.46673324951538,-3.985301438622192,5.684115220682134
2025-09-05,Family,Y3_Low,0.739883132967956,2.486538855691909,-4.133643471491297,5.61340973742721
2025-09-06,Family,Y3_Low,0.7358797513528373,2.5021701988088605,-4.168283722652819,5.640043225358494
2025-09-07,Family,Y3_Low,1.0308055298585825,2.513784710363804,-3.8961219684981288,5.957733028215294
2025-09-08,Family,Y3_Low,0.8947369327636407,2.5232554551842905,-4.050752884352351,5.840226749879632
2025-09-09,Family,Y3_Low,0.8377944660033322,2.5555560791177285,-4.171003410715226,5.846592342721891
2025-09-10,Family,Y3_Low,0.901515791595645,2.5635474714230444,-4.122944926231338,5.925976509422628
2025-09-11,Family,Y3_Low,1.116081472575051,2.569608055560861,-3.9202577718901153,6.152420717040217
2025-09-12,Family,Y3_Low,1.0040731820085562,2.5753092910332827,-4.043440278652561,6.051586642669674
2025-09-13,Family,Y3_Low,0.9890278050883309,2.579917884782339,-4.0675183333424325,6.045573943519095
2025-09-14,Family,Y3_Low,1.2313649797973056,2.5836100439691125,-3.8324176576664213,6.295147617261033
2025-09-15,Family,Y3_Low,1.102195314925033,2.5866102025115048,-3.967467525231073,6.171858155081138
2025-09-16,Family,Y3_Low,1.04273256553264,2.6029995204862173,-4.059052747592615,6.144517878657895
2025-09-17,Family,Y3_Low,1.088590137897726,2.6058659981584174,-4.018813368228848,6.1959936440243
2025-09-18,Family,Y3_Low,1.2657428132881634,2.6079823016835673,-3.845808571529033,6.37729419810536
2025-09-19,Family,Y3_Low,1.1614064306202116,2.6101067009296064,-3.9543087002089825,6.277121561449406
2025-09-20,Family,Y3_Low,1.1416310880280314,2.61182368356612,-3.9774492669315995,6.260711442987662
2025-09-21,Family,Y3_Low,1.3450191889093333,2.6131935067258665,-3.7767459701092196,6.466784347927886
2025-09-22,Family,Y3_Low,1.2278555837291578,2.6143080180365073,-3.896093977319127,6.351805144777442
2025-09-23,Family,Y3_Low,1.1714926551245206,2.623875136907998,-3.971208114352099,6.31419342460114
2025-09-24,Family,Y3_Low,1.206663384127899,2.625099423033946,-3.938436942062914,6.351763710318712
2025-09-25,Family,Y3_Low,1.3557738068307337,2.625976044707837,-3.791044666269376,6.502592279930844
2025-09-26,Family,Y3_Low,1.26194528777554,2.626917375082136,-3.8867181589561826,6.410608734507263
2025-09-27,Family,Y3_Low,1.2415742787458044,2.627677410372596,-3.90857880978255,6.391727367274158
2025-09-28,Family,Y3_Low,1.4144417201420525,2.6282807525569383,-3.736893897338243,6.5657773376223485
2025-09-29,Family,Y3_Low,1.3104960091827775,2.628772004063624,-3.8418024435581994,6.462794461923755
2025-09-30,Family,Y3_Low,1.2593722575824724,2.634917046612726,-3.904970257241036,6.423714772405981
2025-10-01,Family,Y3_Low,1.2876120620899971,2.635532935426872,-3.877937572628002,6.453161696807997
2025-09-21,Superior,Y1_High,2.104989030161085,1.5256010286838704,-0.8851340415382531,5.095112101860423
2025-09-22,Superior,Y1_High,2.352596692739463,1.5629340205116191,-0.7106976983945619,5.415891083873488
2025-09-23,Superior,Y1_High,2.526107374704639,1.5820189442475097,-0.5745927796082029,5.626807529017481
2025-09-24,Superior,Y1_High,2.6376193708722617,1.600535563017207,-0.49937268935316137,5.774611431097685
2025-09-25,Superior,Y1_High,2.683046089372738,1.6090743485811856,-0.4706816830337215,5.836773861779198
2025-09-26,Superior,Y1_High,2.7091693425648464,1.6157853820982955,-0.45771181383727644,5.876050498966969
2025-09-27,Superior,Y1_High,2.72411060358256,1.6217450599051417,-0.45445130668318523,5.902672513848305
2025-09-28,Superior,Y1_High,2.732019076955233,1.6270882595434595,-0.4570153121662801,5.921053466076746
2025-09-29,Superior,Y1_High,2.7368931228068396,1.6321897768086566,-0.462140056423316,5.935926302036995
2025-09-30,Superior,Y1_High,2.7401434478671733,1.6371644047344194,-0.46863982293625206,5.948926718670599
2025-10-01,Superior,Y1_High,2.7425101075506415,1.6420587881775084,-0.4758659785300181,5.960886193631302
